,complexity,method,tsr,explanation
0,7.302651351018458,FO,False,Saliency_PTY'>
1,7.400584983831682,FO,False,Saliency_PTY'>
2,7.398993726873804,FO,False,Saliency_PTY'>
3,7.377865397336791,FO,False,Saliency_PTY'>
4,7.410446376602959,FO,False,Saliency_PTY'>
5,7.318638495119922,FO,False,Saliency_PTY'>
6,7.361213681646371,FO,False,Saliency_PTY'>
7,7.390766284832942,FO,False,Saliency_PTY'>
8,7.356708102133457,FO,False,Saliency_PTY'>
9,7.380096682067087,FO,False,Saliency_PTY'>
10,7.3537654466842906,FO,False,Saliency_PTY'>
11,7.361706494508546,FO,False,Saliency_PTY'>
12,7.339404421408654,FO,False,Saliency_PTY'>
13,7.350179260104005,FO,False,Saliency_PTY'>
14,7.375263171212184,FO,False,Saliency_PTY'>
15,7.35397371229942,FO,False,Saliency_PTY'>
16,7.38052654799001,FO,False,Saliency_PTY'>
17,7.334545714256553,FO,False,Saliency_PTY'>
18,7.335211736944206,FO,False,Saliency_PTY'>
19,7.393556472152046,FO,False,Saliency_PTY'>
