,complexity,method,tsr,explanation
0,7.136390358635353,IG,True,Saliency_PTY'>
1,6.908259555962973,IG,True,Saliency_PTY'>
2,6.8301370120933145,IG,True,Saliency_PTY'>
3,7.303777383715657,IG,True,Saliency_PTY'>
4,7.043012974758669,IG,True,Saliency_PTY'>
5,7.266183241327916,IG,True,Saliency_PTY'>
6,7.131231761639698,IG,True,Saliency_PTY'>
7,6.8490987381063535,IG,True,Saliency_PTY'>
8,7.164204821682075,IG,True,Saliency_PTY'>
9,6.644962670232552,IG,True,Saliency_PTY'>
10,7.190023528475205,IG,True,Saliency_PTY'>
11,7.237138638963032,IG,True,Saliency_PTY'>
12,7.114291895831151,IG,True,Saliency_PTY'>
13,7.147248408980743,IG,True,Saliency_PTY'>
14,7.265788317579901,IG,True,Saliency_PTY'>
15,6.960822528273027,IG,True,Saliency_PTY'>
16,6.860936968846363,IG,True,Saliency_PTY'>
17,6.901163337801433,IG,True,Saliency_PTY'>
18,7.003606448416264,IG,True,Saliency_PTY'>
19,7.223729619952013,IG,True,Saliency_PTY'>
