,monoton_uniform,monoton_corr_uniform,faithfulness_correlation_uniform,monoton_mean,monoton_corr_mean,faithfulness_correlation_mean,monoton_synthetic,monoton_corr_synthetic,faithfulness_correlation_synthetic,nb_neighbors,transform_name,segmentator_name,learning_process_name,nb_interpretable_feature,explanation_size,explanation
0,False,-0.08546493453661257,0.21458559601250562,True,0.030028220242593606,-0.11795580537911768,True,0.006929589286752371,-0.10709576866554388,1000,random,uniform,SHAP,10,1,LEFTIST'>
1,False,0.37188795838904387,-0.004037102500818856,True,0.17785945835997752,0.08070461490732388,True,0.32107097028619314,-0.024167845825862434,1000,random,uniform,SHAP,10,1,LEFTIST'>
2,False,0.28873288694801547,0.11196728929919192,True,0.04388739881609834,0.39296568010351357,True,0.21943699408049172,0.23965278540863905,1000,random,uniform,SHAP,10,1,LEFTIST'>
3,False,0.25639480360983774,0.0001501516571876839,True,0.23791589884516473,0.20701142902161646,True,0.39960631553605336,-0.1088478359214653,1000,random,uniform,SHAP,10,1,LEFTIST'>
4,False,0.34416960124203444,0.11825342882435275,True,0.3487893274332026,-0.03401027454054022,True,0.05774657738960309,0.14644131067147062,1000,random,uniform,SHAP,10,1,LEFTIST'>
5,False,0.08546493453661257,-0.08153947899353521,True,0.28873288694801547,-0.16975797677573806,True,0.06698602977193958,0.12842037075619142,1000,random,uniform,SHAP,10,1,LEFTIST'>
6,False,0.05312685119843485,0.03269581744882949,True,0.1362819226394633,0.15748976900018072,True,0.15476082740413627,0.06558953085707633,1000,random,uniform,SHAP,10,1,LEFTIST'>
7,False,0.25639480360983774,0.09062853991394207,True,0.10394383930128556,0.15345190191614613,True,0.15014110121296803,0.028036134464379726,1000,random,uniform,SHAP,10,1,LEFTIST'>
8,False,0.4365641250653993,-0.06908354704969441,True,0.3349301488596979,0.3733688631662137,True,0.44580357744773585,0.2580984753193712,1000,random,uniform,SHAP,10,1,LEFTIST'>
9,False,0.15476082740413627,-0.13959662899163638,True,0.09008466072778082,0.10138845401766305,True,0.29797233933035194,0.08129570955710952,1000,random,uniform,SHAP,10,1,LEFTIST'>
10,False,0.34416960124203444,-0.11798064322698013,True,0.23791589884516473,-0.01673272174585852,True,-0.13166219644829505,-0.01856585809549316,1000,random,uniform,SHAP,10,1,LEFTIST'>
11,False,0.38112741077138035,0.20764368755472282,True,0.006929589286752371,0.033168920076775715,True,0.34416960124203444,0.04007692567327371,1000,random,uniform,SHAP,10,1,LEFTIST'>
12,False,0.1963383631246505,0.021786808120506405,True,0.3025920655215202,0.02377110357065964,True,0.17323973216880928,-0.14061142250411063,1000,random,uniform,SHAP,10,1,LEFTIST'>
13,False,-0.44118385125656767,0.14450659966781196,True,-0.32107097028619314,-0.06916373046507618,True,-0.37188795838904387,0.051300417618073926,1000,random,uniform,SHAP,10,1,LEFTIST'>
14,False,0.15938055359530454,0.006346870458715787,True,0.21943699408049172,-0.008177545110941042,True,0.09932411311011732,-0.09565274498051951,1000,random,uniform,SHAP,10,1,LEFTIST'>
15,False,-0.17785945835997752,0.030524005514767465,True,-0.12704247025712678,0.12245029560638428,True,0.21943699408049172,0.035613662194202624,1000,random,uniform,SHAP,10,1,LEFTIST'>
16,False,0.3487893274332026,0.1831782559411475,True,0.40884576791838984,0.2907168974809321,True,0.2748737083745107,-0.020615942322496007,1000,random,uniform,SHAP,10,1,LEFTIST'>
17,False,0.06236630358077134,0.2013039939634361,True,0.06236630358077134,0.10754025726188111,True,-0.04388739881609834,0.21139792725123346,1000,random,uniform,SHAP,10,1,LEFTIST'>
18,False,-0.22405672027166,-0.025666127898512386,True,-0.13166219644829505,0.04748965636403922,True,-0.025408494051425357,-0.19948453728328605,1000,random,uniform,SHAP,10,1,LEFTIST'>
19,False,-0.1362819226394633,0.13741087568134913,True,0.09008466072778082,0.27455700845914205,True,-0.016169041669088866,0.11313372566478938,1000,random,uniform,SHAP,10,1,LEFTIST'>
