,monoton_uniform,monoton_corr_uniform,faithfulness_correlation_uniform,monoton_mean,monoton_corr_mean,faithfulness_correlation_mean,monoton_synthetic,monoton_corr_synthetic,faithfulness_correlation_synthetic,method,tsr,explanation
0,False,0.18770708283313325,0.4100024507092508,True,0.20720288115246097,0.351859979796444,True,0.22448979591836735,0.12712997501634316,DL,False,Saliency_PTY'>
1,False,0.3415606242496999,-0.14413043544598256,True,0.2896038415366146,0.012263610042450097,True,0.37478991596638656,0.09501859554372556,DL,False,Saliency_PTY'>
2,False,0.5663865546218487,-0.31901683862252117,True,0.5498679471788716,-0.14508627216691064,True,0.37632653061224486,-0.5530748435145976,DL,False,Saliency_PTY'>
3,False,0.7484753901560625,0.12344537932848694,True,0.7317647058823529,0.2367162715157811,True,0.6145978391356542,0.24146943582997926,DL,False,Saliency_PTY'>
4,False,0.6921968787515005,0.0020468560512154127,True,0.6196067134250146,0.17721418181143955,True,0.49887154861944777,0.3535956333244872,DL,False,Saliency_PTY'>
5,False,0.34530612244897957,-0.025057419869313424,True,0.2492677070828331,-0.22664906216888467,True,-0.09099639855942376,-0.06416588247862193,DL,False,Saliency_PTY'>
6,False,0.6734693877551019,0.16567226605164945,True,0.6606962785114046,0.3058208271103515,True,0.5480432172869147,-0.4600192123402705,DL,False,Saliency_PTY'>
7,False,0.6222809123649461,0.13058823137146364,True,0.5559183673469387,0.001002296679380954,True,0.5237454981992796,-0.22455521812610907,DL,False,Saliency_PTY'>
8,False,0.7163985594237695,-0.2131008623998642,True,0.7378151260504201,-0.09114962562967685,True,0.4129171668667466,-0.5509160612184935,DL,False,Saliency_PTY'>
9,False,0.42876350540216085,-0.05301943630534439,True,0.31937575030012,-0.25840690851432735,True,0.2401440576230492,-0.10219896941751691,DL,False,Saliency_PTY'>
10,False,0.6337094837935173,-0.2989408362611541,True,0.6107563025210084,-0.3987831694278936,True,0.5003121248499399,-0.07303262464953998,DL,False,Saliency_PTY'>
11,False,0.8097478991596637,0.4533576055280017,True,0.6574309723889555,0.4615443310088224,True,0.6445618247298919,0.21627882073266197,DL,False,Saliency_PTY'>
12,False,0.6526290516206482,0.14795126459053223,True,0.5480432172869147,-0.010431957338902943,True,0.46631452581032407,-0.05737783711133712,DL,False,Saliency_PTY'>
13,False,0.773829531812725,-0.2825310726472971,True,0.7414645858343337,-0.5360331192569797,True,0.737046818727491,-0.7184051041525444,DL,False,Saliency_PTY'>
14,False,0.4783193277310924,0.11892215294328726,True,0.352797118847539,0.12393271665668991,True,0.03615846338535413,-0.07163746465300556,DL,False,Saliency_PTY'>
15,False,0.7163025210084032,-0.1535404073686212,True,0.703625450180072,-0.3883981268893636,True,0.5587995198079231,0.16403035359219895,DL,False,Saliency_PTY'>
16,False,0.7696998799519807,0.23482302490801912,True,0.6699159663865546,0.15874858227179858,True,0.7333973589435773,0.41737521741188083,DL,False,Saliency_PTY'>
17,False,0.15428571428571428,0.007635125300468341,True,0.2444657863145258,-0.0687340949344746,True,0.08331332533013207,0.25097035239671434,DL,False,Saliency_PTY'>
18,False,0.41723889555822324,-0.08814128388743385,True,0.46016806722689074,0.11299140624573091,True,0.4703481392557023,-0.4220136725694204,DL,False,Saliency_PTY'>
19,False,0.35193277310924365,-0.26779278876390084,True,0.29382953181272503,-0.03580939378062957,True,0.515390156062425,0.0008635449702168334,DL,False,Saliency_PTY'>
