,monoton_uniform,monoton_corr_uniform,faithfulness_correlation_uniform,monoton_mean,monoton_corr_mean,faithfulness_correlation_mean,monoton_synthetic,monoton_corr_synthetic,faithfulness_correlation_synthetic,ts_length,method,distance_measure,max_iter,n_neighbors,explanation
0,False,-0.006992395506664654,-0.20073383231027073,True,0.095491442436952,-0.23290662343399726,True,-0.009839703582856341,0.009393958872699558,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
1,False,-0.05459783913565427,0.14516171857569748,True,-0.038367346938775505,-0.13264801321297254,True,0.02463385354141657,0.09878143871752536,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
2,False,-0.062377382692569684,0.16917047414791633,True,-0.14538644746382123,-0.1175294967235197,True,-0.03873825280181771,0.1775482333045189,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
3,False,-0.18724487432091572,-0.05870892335154977,True,-0.21189126909461908,-0.29334220910671865,True,0.11721752836227334,0.19576300492212617,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
4,False,0.22407685014037085,-0.03096157315980783,True,0.1615527236792242,-0.006651049186342466,True,0.12457028902255703,-0.030719211458603894,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
5,False,-0.123937575030012,-0.034821147499386876,True,0.05959183673469387,0.008252374447422826,True,-0.11903961584633853,0.08877577173785897,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
6,False,0.1755945434445405,-0.13088316032373742,True,0.28897433073020823,-0.004384070843895017,True,0.2119145092021527,-0.04199844160610355,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
7,False,-0.32062424969987996,0.06300302167169375,True,-0.005138055222088836,0.0360232302337478,True,-0.1736854741896759,0.10899562532349463,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
8,False,-0.22825721663178056,-0.057547236762307455,True,0.17735196739347056,0.10992429308618548,True,-0.25774384213397145,-0.0012307462414875058,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
9,False,0.023801531405117687,0.08195247655142412,True,-0.026591036159080327,0.134171500052031,True,0.09155834415774432,-0.16163457762710218,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
10,False,-0.11058823529411764,-0.002030957516907228,True,-0.006050565441490494,0.19004164795171544,True,-0.3826057742279393,0.005535722889175274,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
11,False,-0.001453369141991044,-0.07431849634409779,True,0.04732540988493979,-0.17083054065736245,True,-0.027252286395016624,-0.058631406815685266,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
12,False,0.20941403101483605,0.07286125023423899,True,-0.13318924495507806,-0.029991506276313508,True,0.08924111688659757,-0.21959842359785792,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
13,False,0.14012341236721634,-0.0186707902204418,True,0.25681288873881875,-0.1752531556737314,True,0.14585534598068076,-0.0419776205235539,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
14,False,-0.05459783913565427,0.2280721753778335,True,-0.057870092865171335,0.13830263343683633,True,0.027038709338369996,0.06917672390647002,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
15,False,0.02645858343337335,0.0542286895162015,True,0.1958703481392557,0.06015637806702992,True,0.14881152460984393,0.06315187858347303,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
16,False,-0.11270108043217285,-0.006580325029354018,True,0.21601663678242664,0.19278613743689363,True,0.06534666388233244,-0.1318331672043914,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
17,False,0.3626890756302521,0.042765466231325086,True,0.15150060024009604,0.1769741276307254,True,0.26991596638655463,-0.05016568327104614,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
18,False,-0.12035722512503072,0.11424265443402222,True,0.044712371863902534,-0.0182447068003908,True,-0.0566186241819299,-0.017654817137836697,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
19,False,-0.020984393757503002,-0.03551753905894196,True,-0.13911164465786313,0.09092979616294156,True,0.062472989195678265,-0.2666499954882213,50,dtw_bary_center,dtw,500,1,NativeGuideCF'>
