,monoton_uniform,monoton_corr_uniform,faithfulness_correlation_uniform,monoton_mean,monoton_corr_mean,faithfulness_correlation_mean,monoton_synthetic,monoton_corr_synthetic,faithfulness_correlation_synthetic,ts_length,method,distance_measure,max_iter,n_neighbors,explanation
0,False,-0.036257984127286834,0.20331701981164416,True,0.025116457878902005,0.013011305428382814,True,0.034817269526202586,0.23481615883587134,50,NG,dtw,500,1,NativeGuideCF'>
1,False,-0.025885460625997805,0.09608596425755332,True,0.03486613063909908,0.011879325274118283,True,0.0059550966931794565,-0.03686196954186491,50,NG,dtw,500,1,NativeGuideCF'>
2,False,0.2031708137419868,-0.1416345904903844,True,-0.007542638391461795,0.17912540118534975,True,-0.0636560246413177,-0.01014966749531554,50,NG,dtw,500,1,NativeGuideCF'>
3,False,0.0037968005748686626,0.011489707592604034,True,-0.04950258977360408,-0.035032978231903114,True,-0.16657861762651627,0.031902397910788735,50,NG,dtw,500,1,NativeGuideCF'>
4,False,-0.27061422590365736,-0.03417785209428335,True,-0.13998943540535247,0.2607522400051303,True,-0.16822744158660366,0.1660310558134152,50,NG,dtw,500,1,NativeGuideCF'>
5,False,-0.04260429073470868,0.05919185829776741,True,-0.18351026034785353,0.14393081775441519,True,-0.11104974090039059,-0.21276674362535022,50,NG,dtw,500,1,NativeGuideCF'>
6,False,-0.054218892820803756,-0.021083448418236294,True,0.004754358183578009,-0.01969889631491722,True,-0.036161936487214545,-0.0011644500660432343,50,NG,dtw,500,1,NativeGuideCF'>
7,False,-0.04500264239427747,-0.2529639443286026,True,-0.12914845826916982,0.0358028433434715,True,-0.1351039840502695,0.15113526006273398,50,NG,dtw,500,1,NativeGuideCF'>
8,False,0.07913755434584392,-0.005962450118934754,True,0.0979615357193699,-0.10677439869739672,True,-0.08369948860728517,0.28182417194078735,50,NG,dtw,500,1,NativeGuideCF'>
9,False,-0.06117940844549385,0.022424291299091285,True,0.1269208606918683,-0.1583748808344869,True,-0.09138494055869292,-0.02969239849479558,50,NG,dtw,500,1,NativeGuideCF'>
10,False,-0.10156138572961933,0.1377933940972921,True,-0.20831133799604037,-0.04396543390916239,True,-0.2909921066056312,0.048015480599799674,50,NG,dtw,500,1,NativeGuideCF'>
11,False,-0.15390895138760421,-0.006377032753476182,True,-0.23636189039930985,0.078173707303705,True,-0.2873127164280924,0.18010769298620952,50,NG,dtw,500,1,NativeGuideCF'>
12,False,-0.17541837744257754,0.009063339697896602,True,0.2318903215631555,0.23312048367146979,True,-0.15553794813482308,0.250774456233812,50,NG,dtw,500,1,NativeGuideCF'>
13,False,0.04058402649217125,-0.15667377829187992,True,-0.031554680953084634,0.0068391743755344455,True,0.051054225042814254,0.14743418448651965,50,NG,dtw,500,1,NativeGuideCF'>
14,False,-0.04062620058468431,-0.016882447024747078,True,-0.21427199410030892,0.1044182986119908,True,-0.017287744929652894,0.18071926861038506,50,NG,dtw,500,1,NativeGuideCF'>
15,False,0.11037464295231496,-0.050733667052203786,True,0.1848703223339688,-0.1366023959934154,True,0.05413064517287161,0.120104885834413,50,NG,dtw,500,1,NativeGuideCF'>
16,False,-0.2656896413422846,0.013476906707256856,True,-0.12152814305564076,0.03153299905996301,True,-0.1424315603072041,-0.009390842135700414,50,NG,dtw,500,1,NativeGuideCF'>
17,False,-0.1309483793517407,-0.05745219134569497,True,0.0387515006002401,-0.09341896881139977,True,0.003121323442038747,0.07747303657609597,50,NG,dtw,500,1,NativeGuideCF'>
18,False,0.07789650674465387,0.009715594935009644,True,0.036739104599050686,0.019474963674880157,True,-0.13629487431647822,-0.1115980707504317,50,NG,dtw,500,1,NativeGuideCF'>
19,False,0.25066628257603474,0.07323016873843342,True,0.07738681775092676,0.06591487578448021,True,0.06101956360803065,-0.04635624290841567,50,NG,dtw,500,1,NativeGuideCF'>
