,monoton_uniform,monoton_corr_uniform,faithfulness_correlation_uniform,monoton_mean,monoton_corr_mean,faithfulness_correlation_mean,monoton_synthetic,monoton_corr_synthetic,faithfulness_correlation_synthetic,transformer,epochs,explanation
0,False,0.17432800573794954,0.25659498015073334,True,0.14510026963984898,-0.006614881236120408,True,0.17324878895059465,-0.04650179070959499,mutate_both,100,TSEvo'>
1,False,-0.03136702867648126,-0.17517413716330038,True,-0.032332254182401286,-0.1936283924166611,True,-0.024402789908132317,-0.14170445551898725,mutate_both,100,TSEvo'>
2,False,0.03766930877871597,-0.20555441119227585,True,0.027392259472932567,0.03698310772705458,True,0.07540035626287754,0.09462082203596173,mutate_both,100,TSEvo'>
3,False,0.09442080088751895,0.026822124815304566,True,0.1045819932208039,-0.11346297473425371,True,0.11146367438527209,0.0971782671929235,mutate_both,100,TSEvo'>
4,False,0.054873703422416056,-0.20317785821519138,True,-0.06222972225970581,-0.3671583489704612,True,-0.04880401579243355,-0.13021677083803135,mutate_both,100,TSEvo'>
5,False,-0.14350638435971358,-0.04644371452674636,True,-0.10187819829536346,-0.10930233291083705,True,-0.14576504919686054,-0.12917216776807125,mutate_both,100,TSEvo'>
6,False,-0.21967445780336622,-0.1367390793362353,True,-0.19346917469702282,-0.3215466737914163,True,-0.19740821269089578,-0.26785991673065,mutate_both,100,TSEvo'>
7,False,0.06668554884306332,-0.08624028775485881,True,0.027913290172014642,-0.277722996417904,True,0.04201653093625765,0.07934116349092993,mutate_both,100,TSEvo'>
8,False,0.22647377037281868,-0.028459751015752894,True,0.13759351389915128,0.03936077985398612,True,0.2637648926955399,-0.2290355116130041,mutate_both,100,TSEvo'>
9,False,0.1578736116272668,-0.04826497987975961,True,0.1548814188552505,0.1272276696519218,True,0.16109576800017997,0.20211144711267745,mutate_both,100,TSEvo'>
10,False,0.1346062672902481,-0.13742686730340953,True,0.21778729784562892,-0.13345695256204534,True,0.13653553662305862,-0.2252454025480281,mutate_both,100,TSEvo'>
11,False,0.13970607831362988,-0.25990652223336697,True,0.1465701824051619,-0.25798172948892595,True,0.1543132085541324,-0.1733049403812756,mutate_both,100,TSEvo'>
12,False,-0.1314520618063965,0.04540152211937876,True,-0.15101623954317478,-0.1103132133976944,True,-0.14700642417692728,-0.12185509560520488,mutate_both,100,TSEvo'>
13,False,-0.30403346156682065,-0.1292673508486611,True,-0.18644645527667836,-0.26532762404636573,True,-0.26978653268011943,-0.1415342539799941,mutate_both,100,TSEvo'>
14,False,-0.03053269964359834,-0.09576390879177565,True,0.057316053423675774,0.07303525258394686,True,0.06242772434299596,0.2244087065449553,mutate_both,100,TSEvo'>
15,False,0.07669760013491482,0.06599847980294012,True,-0.06647253647667822,0.09642268413293124,True,0.11712847448526065,0.14228296381282546,mutate_both,100,TSEvo'>
16,False,0.003665394371092418,-0.09783644618048232,True,0.014001682429619598,0.05401554975932028,True,0.012777101147041192,0.056310357921688904,mutate_both,100,TSEvo'>
17,False,0.15255391664346094,-0.014290314726010174,True,0.13551520210706947,-0.025778381810631537,True,0.2092649923128408,0.2356505302633764,mutate_both,100,TSEvo'>
18,False,-0.05565814276491634,0.1602245064931059,True,-0.042208394969316436,0.18492017589482432,True,-0.04628483744019138,0.010117144591820827,mutate_both,100,TSEvo'>
19,False,-0.2071770729005852,-0.029825050084881455,True,-0.2736864171005639,-0.07932072053403047,True,-0.16599116215068288,-0.0967527055535145,mutate_both,100,TSEvo'>
